trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.9007999999999972}",35,7,-70.6928652711507,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.8991999999999971}",30,0,-197.55973052783506,"{0: 18, 1: 3, 2: 2, 3: 5, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.8975999999999971}",25,15,-35.67686232374844,"{0: 7, 1: 1, 2: 0, 3: 2, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.895999999999997}",35,0,-109.64378919237416,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.894399999999997}",25,0,-157.7719260872729,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.8927999999999969}",35,0,-199.65605327120232,"{0: 23, 1: 3, 2: 3, 3: 3, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.8911999999999969}",35,0,-100.445209789195,"{0: 27, 1: 2, 2: 2, 3: 3, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.8895999999999968}",30,0,-129.71815241484143,"{0: 19, 1: 7, 2: 1, 3: 1, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.8879999999999968}",20,5,-132.854052013548,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 3}",1
71,False,"{'a': 0.5, 'e': 0.8863999999999967}",30,0,-179.22854044244468,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.8847999999999967}",30,0,-39.159520701313426,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.8831999999999967}",20,0,-110.5934574531066,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.8815999999999966}",30,0,-195.87160533041148,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.8799999999999966}",45,3,-156.61436765466252,"{0: 28, 1: 5, 2: 5, 3: 2, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.8783999999999965}",30,0,-179.29645597536324,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.8767999999999965}",40,0,-175.26564512552142,"{0: 27, 1: 5, 2: 4, 3: 1, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.8751999999999964}",30,6,-129.5338260100977,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.8735999999999964}",35,0,-181.20815275734785,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.8719999999999963}",25,0,-230.4408165831211,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 5}",0
81,False,"{'a': 0.5, 'e': 0.8703999999999963}",40,0,-275.6389869276666,"{0: 23, 1: 5, 2: 5, 3: 3, 4: 4}",0
82,False,"{'a': 0.5, 'e': 0.8687999999999962}",20,0,-130.80019711461895,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.8671999999999962}",30,0,-176.37504074846692,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 4}",0
84,False,"{'a': 0.5, 'e': 0.8655999999999962}",20,0,-111.76346420708413,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.8639999999999961}",35,0,-165.35481745786288,"{0: 25, 1: 4, 2: 2, 3: 0, 4: 4}",0
86,False,"{'a': 0.5, 'e': 0.8623999999999961}",40,0,-226.56957104372293,"{0: 19, 1: 11, 2: 6, 3: 1, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.860799999999996}",30,9,-81.90482753606389,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.859199999999996}",35,0,-123.27566663728165,"{0: 23, 1: 5, 2: 4, 3: 2, 4: 1}",0
